,NAME,SOURCE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,NOTES
608,fscnof.001-,asd,impervious,urban,comp_shingle,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
609,fscnof.006-,asd,impervious,urban,comp_shingle,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
610,fscrmg.013-,asd,impervious,urban,comp_shingle,measured,34.4332,-119.7809,urban reflectance spectra from santa barbara
611,fscrmg.006-,asd,impervious,urban,comp_shingle,measured,34.4118,-119.8709,urban reflectance spectra from santa barbara
612,fscgye.022-,asd,impervious,urban,comp_shingle,measured,34.4309,-119.6795,urban reflectance spectra from santa barbara
613,fttrmg.007-,asd,impervious,urban,comp_shingle,measured,34.4118,-119.8709,urban reflectance spectra from santa barbara
614,fscemm.010-,asd,impervious,urban,comp_shingle,measured,34.4003,-119.7311,urban reflectance spectra from santa barbara
615,fscgye.028-,asd,impervious,urban,comp_shingle,measured,34.4309,-119.6795,urban reflectance spectra from santa barbara
616,fsceye.026-,asd,impervious,urban,comp_shingle,measured,34.4283,-119.8707,urban reflectance spectra from santa barbara
617,fsfnye.003-,asd,impervious,urban,concrete_tile,measured,34.43,-119.7633,urban reflectance spectra from santa barbara
618,modrmg.004-,asd,impervious,urban,driveway,measured,34.4357,119.8801,urban reflectance spectra from santa barbara
619,spcsye.006-,asd,impervious,urban,driveway,measured,34.4399,-119.8927,urban reflectance spectra from santa barbara
620,spcsye.005-,asd,impervious,urban,driveway,measured,34.4399,-119.8927,urban reflectance spectra from santa barbara
621,folwmm.002-,asd,impervious,urban,glass,measured,34.43,-119.7633,urban reflectance spectra from santa barbara
622,folwmm.001-,asd,impervious,urban,glass,measured,34.43,-119.7633,urban reflectance spectra from santa barbara
623,fggeof.001-,asd,impervious,urban,gravel,measured,34.4183,119.8721,urban reflectance spectra from santa barbara
624,fggrom.004-,asd,impervious,urban,gravel,measured,34.4156,-119.8453,urban reflectance spectra from santa barbara
625,fggemg.006-,asd,impervious,urban,gravel,measured,34.4003,-119.7311,urban reflectance spectra from santa barbara
626,fggemg.003-,asd,impervious,urban,gravel,measured,34.4003,-119.7311,urban reflectance spectra from santa barbara
627,mozmom.001-,asd,impervious,urban,manhole,measured,34.446,-119.8319,urban reflectance spectra from santa barbara
628,mozmom.003-,asd,impervious,urban,manhole,measured,34.446,-119.8319,urban reflectance spectra from santa barbara
629,foznof.001-,asd,impervious,urban,metal,measured,34.4003,-119.7311,urban reflectance spectra from santa barbara
630,fozkyg.002-,asd,impervious,urban,metal,measured,34.4003,-119.7311,urban reflectance spectra from santa barbara
631,foznof.002-,asd,impervious,urban,metal,measured,34.4003,-119.7311,urban reflectance spectra from santa barbara
632,fhzgmg.007-,asd,impervious,urban,metal,measured,34.4574,-119.823,urban reflectance spectra from santa barbara
633,fhzgmg.008-,asd,impervious,urban,metal,measured,34.4574,-119.823,urban reflectance spectra from santa barbara
634,mobrmg.008-,asd,impervious,urban,other,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
635,mobrmg.003-,asd,impervious,urban,other,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
636,mobrmg.005-,asd,impervious,urban,other,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
637,mobrmg.007-,asd,impervious,urban,other,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
638,mobrmg.004-,asd,impervious,urban,other,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
639,mobrmg.001-,asd,impervious,urban,other,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
640,tpabmg.003-,asd,impervious,urban,paint,measured,34.4417,-119.8306,urban reflectance spectra from santa barbara
641,ctcnmm.005-,asd,impervious,urban,paint,measured,34.4168,-119.8506,urban reflectance spectra from santa barbara
642,ctcgmm.016-,asd,impervious,urban,paint,measured,34.4168,-119.8506,urban reflectance spectra from santa barbara
643,ctcgmm.001-,asd,impervious,urban,paint,measured,34.4483,-119.8191,urban reflectance spectra from santa barbara
644,fhznmg.002-,asd,impervious,urban,paint,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
645,trawmm.006-,asd,impervious,urban,paint,measured,34.4417,-119.8306,urban reflectance spectra from santa barbara
646,trayye.004-,asd,impervious,urban,paint,measured,34.4357,119.8801,urban reflectance spectra from santa barbara
647,trayye.003-,asd,impervious,urban,paint,measured,34.44,119.8927,urban reflectance spectra from santa barbara
648,tccryg.001-,asd,impervious,urban,paint,measured,34.4401,-119.8327,urban reflectance spectra from santa barbara
649,traymg.003-,asd,impervious,urban,paint,measured,34.4408,-119.8745,urban reflectance spectra from santa barbara
650,traymg.001-,asd,impervious,urban,paint,measured,34.4408,-119.8745,urban reflectance spectra from santa barbara
651,tccrye.001-,asd,impervious,urban,paint,measured,34.4373,-119.6926,urban reflectance spectra from santa barbara
652,trawyf.002-,asd,impervious,urban,paint,measured,34.4408,-119.8745,urban reflectance spectra from santa barbara
653,pprwmg.003-,asd,impervious,urban,paint,measured,34.4419,-119.8315,urban reflectance spectra from santa barbara
654,trawmm.003-,asd,impervious,urban,paint,measured,34.4417,-119.8306,urban reflectance spectra from santa barbara
655,fhznmg.003-,asd,impervious,urban,paint,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
656,trawyg.003-,asd,impervious,urban,paint,measured,34.4408,-119.8745,urban reflectance spectra from santa barbara
657,pprwmg.002-,asd,impervious,urban,paint,measured,34.4419,-119.8315,urban reflectance spectra from santa barbara
658,trawyg.002-,asd,impervious,urban,paint,measured,34.4408,-119.8745,urban reflectance spectra from santa barbara
659,pprwmg.001-,asd,impervious,urban,paint,measured,34.4419,-119.8315,urban reflectance spectra from santa barbara
660,rpaeye.006-,asd,impervious,urban,road,measured,34.4408,-119.8745,urban reflectance spectra from santa barbara
661,rpaeom.003-,asd,impervious,urban,road,measured,34.44,-119.8927,urban reflectance spectra from santa barbara
662,rpcsye.004-,asd,impervious,urban,road,measured,34.4373,-119.6926,urban reflectance spectra from santa barbara
663,trawmm.001-,asd,impervious,urban,paint,measured,34.4417,-119.8306,urban reflectance spectra from santa barbara
664,spmrye.005-,asd,impervious,urban,sidewalk,measured,34.4168,-119.8506,urban reflectance spectra from santa barbara
665,spcsmg.009-,asd,impervious,urban,sidewalk,measured,34.446,-119.8319,urban reflectance spectra from santa barbara
666,subrmg.010-,asd,impervious,urban,sidewalk,measured,34.4399,-119.8927,urban reflectance spectra from santa barbara
667,spcsmg.005-,asd,impervious,urban,sidewalk,measured,34.446,-119.8319,urban reflectance spectra from santa barbara
668,spcsmg.002-,asd,impervious,urban,sidewalk,measured,34.446,-119.8319,urban reflectance spectra from santa barbara
669,spcemg.011-,asd,impervious,urban,sidewalk,measured,34.4417,-119.8306,urban reflectance spectra from santa barbara
670,spcsyg.001-,asd,impervious,urban,sidewalk,measured,34.44,-119.8927,urban reflectance spectra from santa barbara
671,spcsye.002-,asd,impervious,urban,sidewalk,measured,34.446,-119.8319,urban reflectance spectra from santa barbara
672,spcsmg.010-,asd,impervious,urban,sidewalk,measured,34.446,-119.8319,urban reflectance spectra from santa barbara
673,spceye.002-,asd,impervious,urban,sidewalk,measured,34.4357,-119.8801,urban reflectance spectra from santa barbara
674,fttrme.007-,asd,impervious,urban,tile,measured,34.4373,-119.6926,urban reflectance spectra from santa barbara
675,fttrme.005-,asd,impervious,urban,tile,measured,34.4373,-119.6926,urban reflectance spectra from santa barbara
676,fsfnof.012-,asd,impervious,urban,wood_shingle,measured,34.43,-119.7633,urban reflectance spectra from santa barbara
677,fsfnof.003-,asd,impervious,urban,wood_shingle,measured,34.43,-119.7633,urban reflectance spectra from santa barbara
678,fsfnof.007-,asd,impervious,urban,wood_shingle,measured,34.43,-119.7633,urban reflectance spectra from santa barbara
679,fsfnof.001-,asd,impervious,urban,wood_shingle,measured,34.43,-119.7633,urban reflectance spectra from santa barbara
680,fswnog.009-,asd,impervious,urban,wood_shingle,measured,34.4399,-119.8927,urban reflectance spectra from santa barbara
681,fswnog.008-,asd,impervious,urban,wood_shingle,measured,34.4399,-119.8927,urban reflectance spectra from santa barbara
682,fswnof.004-,asd,impervious,urban,wood_shingle,measured,34.43,-119.7633,urban reflectance spectra from santa barbara
683,fswnof.001-,asd,impervious,urban,wood_shingle,measured,34.43,-119.7633,urban reflectance spectra from santa barbara
684,v-LAI-3.9-LMA-0.011-CHL-11.5-N-2.0,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
685,v-LAI-4.9-LMA-0.008-CHL-17.6-N-2.1,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
686,v-LAI-6.7-LMA-0.008-CHL-47.8-N-2.1,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
687,v-LAI-4.0-LMA-0.005-CHL-28.6-N-2.0,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
688,v-LAI-4.5-LMA-0.010-CHL-13.0-N-1.5,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
689,v-LAI-2.7-LMA-0.007-CHL-10.3-N-1.8,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
690,v-LAI-5.0-LMA-0.010-CHL-41.3-N-2.1,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
691,v-LAI-1.4-LMA-0.007-CHL-25.5-N-1.9,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
692,v-LAI-3.4-LMA-0.015-CHL-45.7-N-1.5,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
693,v-LAI-8.8-LMA-0.015-CHL-19.7-N-2.0,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
694,v-LAI-1.9-LMA-0.006-CHL-39.1-N-2.3,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
695,v-LAI-8.7-LMA-0.008-CHL-45.3-N-1.3,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
696,v-LAI-0.75-LMA-0.011-CHL-19.1-N-1.8,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
697,v-LAI-0.9-LMA-0.014-CHL-31.4-N-2.2,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
698,v-LAI-4.5-LMA-0.007-CHL-23.0-N-1.9,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
699,v-LAI-6.2-LMA-0.010-CHL-17.0-N-2.1,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
700,v-LAI-5.8-LMA-0.007-CHL-55.2-N-2.3,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
701,v-LAI-3.5-LMA-0.005-CHL-14.0-N-2.3,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
702,v-LAI-7.5-LMA-0.006-CHL-37.8-N-2.0,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
703,v-LAI-0.91-LMA-0.009-CHL-32.1-N-1.4,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
704,v-LAI-3.2-LMA-0.013-CHL-17.2-N-1.9,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
705,v-LAI-1.6-LMA-0.017-CHL-58.9-N-2.2,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
706,v-LAI-6.8-LMA-0.010-CHL-11.0-N-2.5,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
707,v-LAI-8.0-LMA-0.009-CHL-56.1-N-1.9,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
708,v-LAI-7.1-LMA-0.005-CHL-10.4-N-2.3,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
709,v-LAI-6.8-LMA-0.007-CHL-34.1-N-2.0,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
710,v-LAI-5.9-LMA-0.021-CHL-10.1-N-1.6,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
711,v-LAI-1.8-LMA-0.016-CHL-30.2-N-2.4,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
712,v-LAI-3.2-LMA-0.014-CHL-23.2-N-2.2,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
713,v-LAI-6.8-LMA-0.007-CHL-44.9-N-1.6,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
714,v-LAI-6.6-LMA-0.010-CHL-34.3-N-2.2,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
715,v-LAI-5.2-LMA-0.007-CHL-11.7-N-2.2,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
716,v-LAI-2.9-LMA-0.010-CHL-28.0-N-2.2,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
717,v-LAI-2.1-LMA-0.019-CHL-27.8-N-2.3,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
718,v-LAI-0.89-LMA-0.007-CHL-41.0-N-2.4,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
719,v-LAI-4.1-LMA-0.017-CHL-10.2-N-1.9,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
720,v-LAI-0.88-LMA-0.018-CHL-32.6-N-2.1,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
721,v-LAI-8.5-LMA-0.008-CHL-28.1-N-1.9,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
722,v-LAI-1.3-LMA-0.018-CHL-29.6-N-1.7,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
723,v-LAI-1.4-LMA-0.005-CHL-38.4-N-2.4,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
724,v-LAI-1.3-LMA-0.012-CHL-55.7-N-2.1,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
725,v-LAI-2.4-LMA-0.011-CHL-38.8-N-2.1,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
726,v-LAI-1.5-LMA-0.012-CHL-12.8-N-2.4,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
727,v-LAI-1e+01-LMA-0.008-CHL-26.6-N-2.3,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
728,v-LAI-6.8-LMA-0.013-CHL-50.4-N-2.3,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
729,v-LAI-4.6-LMA-0.009-CHL-12.0-N-2.4,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
730,v-LAI-2.1-LMA-0.006-CHL-25.5-N-2.0,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
731,v-LAI-1.0-LMA-0.012-CHL-17.6-N-2.2,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
732,v-LAI-5.8-LMA-0.008-CHL-15.1-N-1.8,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
733,v-LAI-3.8-LMA-0.013-CHL-12.6-N-2.4,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
734,v-LAI-0.72-LMA-0.008-CHL-51.3-N-1.5,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
735,v-LAI-3.4-LMA-0.014-CHL-17.9-N-2.0,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
736,v-LAI-6.7-LMA-0.006-CHL-58.8-N-2.2,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
737,v-LAI-3.9-LMA-0.006-CHL-44.2-N-2.4,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
738,v-LAI-6.2-LMA-0.011-CHL-38.2-N-2.1,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
739,v-LAI-3.7-LMA-0.013-CHL-16.7-N-2.1,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
740,v-LAI-5.0-LMA-0.006-CHL-20.9-N-2.1,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
741,v-LAI-8.6-LMA-0.012-CHL-59.4-N-1.9,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
742,v-LAI-2.8-LMA-0.009-CHL-52.3-N-2.2,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
743,v-LAI-1.7-LMA-0.015-CHL-13.7-N-2.4,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
744,v-LAI-1.4-LMA-0.006-CHL-41.2-N-2.2,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
745,v-LAI-6.4-LMA-0.013-CHL-11.9-N-2.0,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
746,v-LAI-6.7-LMA-0.005-CHL-27.6-N-2.3,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
747,v-LAI-1.1-LMA-0.014-CHL-40.3-N-2.4,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
748,v-LAI-0.87-LMA-0.013-CHL-30.8-N-1.7,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
749,v-LAI-4.3-LMA-0.009-CHL-11.8-N-2.4,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
750,v-LAI-2.0-LMA-0.005-CHL-11.2-N-1.6,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
751,v-LAI-5.9-LMA-0.008-CHL-26.3-N-2.3,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
752,v-LAI-3.7-LMA-0.005-CHL-43.1-N-1.7,prosail,pervious,vegetation,canopy,simulated,0.0,0.0,modeled canopy reflectance
